polling_firm	variable	value	date	wikidata_id
Piepoli	UdC	4.5	2008-12-01	Q47781
Piepoli	UdC	4.5	2008-11-24	Q47781
Piepoli	UdC	4.5	2008-11-17	Q47781
Piepoli	UdC	4.5	2008-11-10	Q47781
Piepoli	UdC	4.5	2008-11-03	Q47781
Ipsos	UdC	5.3	2008-11-03	Q47781
Piepoli	UdC	5	2008-10-27	Q47781
Euromedia	UdC	3.8	2008-10-25	Q47781
Piepoli	UdC	5	2008-10-20	Q47781
Piepoli	UdC	5	2008-10-13	Q47781
Euromedia	UdC	4.1	2008-10-11	Q47781
Piepoli	UdC	5	2008-10-06	Q47781
Coesis	UdC	5	2008-10-05	Q47781
Digis	UdC	5.2	2008-10-04	Q47781
Pareto	UdC	4.7	2008-09-30	Q47781
Piepoli	UdC	5	2008-09-29	Q47781
Ipsos	UdC	6	2008-09-29	Q47781
Digis	UdC	4.9	2008-09-27	Q47781
Piepoli	UdC	5	2008-09-22	Q47781
Digis	UdC	4.7	2008-09-20	Q47781
Piepoli	UdC	5	2008-09-15	Q47781
Digis	UdC	4.5	2008-09-13	Q47781
Ipsos	UdC	5.6	2008-09-08	Q47781
Euromedia	UdC	4.7	2008-09-06	Q47781
Dinamiche	UdC	5.6	2008-09-04	Q47781
Piepoli	UdC	4.5	2008-09-01	Q47781
Crespi	UdC	4	2008-09-01	Q47781
Piepoli	UdC	4.5	2008-08-04	Q47781
Euromedia	UdC	4.5	2008-07-31	Q47781
Crespi	UdC	5	2008-07-28	Q47781
PoliticaLink	UdC	5.2	2008-07-28	Q47781
Digis	UdC	5.4	2008-07-26	Q47781
Digis	UdC	4.8	2008-07-19	Q47781
Digis	UdC	4.8	2008-07-12	Q47781
Piepoli	UdC	5	2008-07-07	Q47781
Digis	UdC	4.2	2008-07-05	Q47781
Dinamiche	UdC	5.2	2008-07-04	Q47781
Crespi	UdC	4.5	2008-07-04	Q47781
Piepoli	UdC	5	2008-06-30	Q47781
Euromedia	UdC	4.5	2008-06-27	Q47781
ISPO	UdC	4.9	2008-06-25	Q47781
Crespi	IdV	7.5	2008-12-19	Q47768
Demos&Pi	IdV	9.3	2008-12-19	Q47768
Ipsos	IdV	9.8	2008-12-15	Q47768
Piepoli	IdV	5	2008-12-07	Q47768
GfK Eurisko	IdV	8.3	2008-12-07	Q47768
IPR	IdV	7.8	2008-12-04	Q47768
Piepoli	IdV	5	2008-12-01	Q47768
Piepoli	IdV	5	2008-11-24	Q47768
Piepoli	IdV	5	2008-11-17	Q47768
Piepoli	IdV	4.5	2008-11-10	Q47768
Piepoli	IdV	5.5	2008-11-03	Q47768
Ipsos	IdV	8.8	2008-11-03	Q47768
Piepoli	IdV	5	2008-10-27	Q47768
Euromedia	IdV	5.7	2008-10-25	Q47768
Piepoli	IdV	5.5	2008-10-20	Q47768
Piepoli	IdV	5	2008-10-13	Q47768
Euromedia	IdV	5.4	2008-10-11	Q47768
Piepoli	IdV	5	2008-10-06	Q47768
Coesis	IdV	8	2008-10-05	Q47768
Digis	IdV	7.2	2008-10-04	Q47768
Pareto	IdV	6.1	2008-09-30	Q47768
Piepoli	IdV	6	2008-09-29	Q47768
Ipsos	IdV	8.1	2008-09-29	Q47768
Digis	IdV	7.7	2008-09-27	Q47768
Piepoli	IdV	5.5	2008-09-22	Q47768
Digis	IdV	7.8	2008-09-20	Q47768
Piepoli	IdV	5.5	2008-09-15	Q47768
Digis	IdV	8	2008-09-13	Q47768
Ipsos	IdV	8	2008-09-08	Q47768
Euromedia	IdV	4.5	2008-09-06	Q47768
Dinamiche	IdV	8.2	2008-09-04	Q47768
Piepoli	IdV	6	2008-09-01	Q47768
Crespi	IdV	8	2008-09-01	Q47768
Piepoli	IdV	5.5	2008-08-04	Q47768
Euromedia	IdV	4.3	2008-07-31	Q47768
Crespi	IdV	7.4	2008-07-28	Q47768
PoliticaLink	IdV	6.7	2008-07-28	Q47768
Digis	IdV	7.6	2008-07-26	Q47768
Digis	IdV	7	2008-07-19	Q47768
Digis	IdV	6.9	2008-07-12	Q47768
Piepoli	IdV	6	2008-07-07	Q47768
Digis	IdV	7.8	2008-07-05	Q47768
Dinamiche	IdV	6.2	2008-07-04	Q47768
Crespi	IdV	6.3	2008-07-04	Q47768
Piepoli	IdV	5.5	2008-06-30	Q47768
Euromedia	IdV	4.9	2008-06-27	Q47768
ISPO	IdV	7.4	2008-06-25	Q47768
Euromedia	PdL	40.1	2009-12-21	Q47720
Digis	PdL	39.5	2009-12-19	Q47720
Euromedia	PdL	39.2	2009-12-17	Q47720
Ipsos	PdL	39.6	2009-12-14	Q47720
GPG	PdL	33	2009-12-12	Q47720
Lorien	PdL	35.4	2009-12-04	Q47720
SpinCon	PdL	37.7	2009-11-30	Q47720
Digis	PdL	38.2	2009-11-28	Q47720
Ipsos	PdL	38	2009-11-27	Q47720
Ipsos	PdL	38.4	2009-11-23	Q47720
SpinCon	PdL	37.5	2009-11-23	Q47720
ISPO	PdL	38.2	2009-11-19	Q47720
Piepoli	PdL	38.5	2009-11-16	Q47720
GPG	PdL	32.2	2009-11-16	Q47720
Euromedia	PdL	38.5	2009-11-13	Q47720
SpinCon	PdL	37.8	2009-11-11	Q47720
Ipsos	PdL	38.8	2009-11-09	Q47720
Digis	PdL	39.5	2009-11-07	Q47720
Crespi	PdL	38	2009-11-03	Q47720
Ipsos	PdL	38.7	2009-10-26	Q47720
Digis	PdL	39.5	2009-10-24	Q47720
Digis	PdL	40	2009-10-17	Q47720
Euromedia	PdL	38.1	2009-10-05	Q47720
Crespi	PdL	39	2009-10-02	Q47720
Ipsos	PdL	37.5	2009-09-28	Q47720
Crespi	PdL	38	2009-09-07	Q47720
Digis	PdL	38	2009-09-05	Q47720
Crespi	PdL	38	2009-07-27	Q47720
Digis	PdL	39	2009-07-18	Q47720
Digis	PdL	40.2	2009-05-20	Q47720
Lorien	PdL	39.7	2009-05-20	Q47720
TP	PdL	38.5	2009-05-20	Q47720
Demopolis	PdL	40	2009-05-20	Q47720
ISPO	PdL	38.5	2009-05-19	Q47720
Crespi	PdL	40	2009-05-19	Q47720
Ipsos	PdL	39.6	2009-05-18	Q47720
Digis	PdL	40.8	2009-05-17	Q47720
Demos&Pi	PdL	38.8	2009-05-15	Q47720
Lorien	PdL	39.9	2009-05-15	Q47720
Demopolis	PdL	40	2009-05-13	Q47720
TP	PdL	39.8	2009-05-12	Q47720
Ipsos	PdL	39.9	2009-05-11	Q47720
Piepoli	PdL	41	2009-05-11	Q47720
Crespi	PdL	41	2009-05-11	Q47720
Digis	PdL	40.1	2009-05-10	Q47720
Euromedia	PdL	43	2009-05-08	Q47720
Lorien	PdL	40.7	2009-05-08	Q47720
PoliticaLink	PdL	38.5	2009-05-07	Q47720
TP	PdL	37.4	2009-05-07	Q47720
Ipsos	PdL	40	2009-05-05	Q47720
Digis	PdL	40.2	2009-05-02	Q47720
Crespi	PdL	41.5	2009-04-30	Q47720
PoliticaLink	PdL	39.2	2009-04-30	Q47720
Ipsos	PdL	40	2009-04-29	Q47720
TP	PdL	38.1	2009-04-29	Q47720
Demopolis	PdL	41	2009-04-28	Q47720
Digis	PdL	39.8	2009-04-26	Q47720
TP	PdL	39.8	2009-04-26	Q47720
Crespi	PdL	43	2009-04-22	Q47720
Lorien	PdL	41.1	2009-04-21	Q47720
Ipsos	PdL	39.5	2009-04-20	Q47720
Digis	PdL	40	2009-04-18	Q47720
Digis	PdL	40.5	2009-04-10	Q47720
ISPO	PdL	42.2	2009-04-02	Q47720
Lorien	PdL	40.4	2009-03-31	Q47720
Digis	PdL	40.8	2009-03-28	Q47720
AnalisiPolitica	PdL	38.6	2009-03-24	Q47720
Euromedia	PdL	43.1	2009-03-23	Q47720
Crespi	PdL	40	2009-03-23	Q47720
Demos&Pi	PdL	38.7	2009-03-23	Q47720
Digis	PdL	39.5	2009-03-21	Q47720
Ipsos	PdL	37.5	2009-03-16	Q47720
Euromedia	PdL	42.1	2009-03-14	Q47720
Digis	PdL	39.7	2009-03-14	Q47720
Coesis	PdL	41	2009-03-10	Q47720
Crespi	PdL	38.5	2009-03-06	Q47720
Euromedia	PdL	42	2009-02-28	Q47720
Digis	PdL	39.5	2009-02-28	Q47720
IPR	PdL	36	2009-02-27	Q47720
Ipsos	PdL	37.3	2009-02-23	Q47720
Digis	PdL	39.7	2009-02-21	Q47720
Crespi	PdL	42	2009-02-20	Q47720
Crespi	PdL	39.6	2009-01-22	Q47720
Ipsos	PdL	38.2	2009-01-12	Q47720
SWG	PdL	38	2009-01-08	Q47720
Piepoli	PdL	41	2009-01-04	Q47720
Euromedia	PD	29.7	2009-12-21	Q47729
Digis	PD	29	2009-12-19	Q47729
Euromedia	PD	29.5	2009-12-17	Q47729
Ipsos	PD	30	2009-12-14	Q47729
GPG	PD	27.4	2009-12-12	Q47729
Lorien	PD	28.2	2009-12-04	Q47729
SpinCon	PD	28	2009-11-30	Q47729
Digis	PD	29.1	2009-11-28	Q47729
Ipsos	PD	30.5	2009-11-27	Q47729
Ipsos	PD	30.8	2009-11-23	Q47729
SpinCon	PD	27.9	2009-11-23	Q47729
ISPO	PD	27.9	2009-11-19	Q47729
Piepoli	PD	27.5	2009-11-16	Q47729
GPG	PD	24.9	2009-11-16	Q47729
Euromedia	PD	27.8	2009-11-13	Q47729
SpinCon	PD	28.6	2009-11-11	Q47729
Ipsos	PD	30.2	2009-11-09	Q47729
Digis	PD	29	2009-11-07	Q47729
Crespi	PD	28	2009-11-03	Q47729
Ipsos	PD	30	2009-10-26	Q47729
Digis	PD	29	2009-10-24	Q47729
Digis	PD	28.5	2009-10-17	Q47729
Euromedia	PD	26.5	2009-10-05	Q47729
Crespi	PD	27	2009-10-02	Q47729
Ipsos	PD	29.3	2009-09-28	Q47729
Crespi	PD	26	2009-09-07	Q47729
Digis	PD	25	2009-09-05	Q47729
Crespi	PD	25.5	2009-07-27	Q47729
Digis	PD	24.5	2009-07-18	Q47729
Digis	PD	25.9	2009-05-20	Q47729
Lorien	PD	27.4	2009-05-20	Q47729
TP	PD	26.2	2009-05-20	Q47729
Demopolis	PD	26	2009-05-20	Q47729
ISPO	PD	27	2009-05-19	Q47729
Crespi	PD	25.7	2009-05-19	Q47729
Ipsos	PD	26.9	2009-05-18	Q47729
Digis	PD	26.1	2009-05-17	Q47729
Demos&Pi	PD	25.7	2009-05-15	Q47729
Lorien	PD	26.3	2009-05-15	Q47729
Demopolis	PD	25.5	2009-05-13	Q47729
TP	PD	26.5	2009-05-12	Q47729
Ipsos	PD	26	2009-05-11	Q47729
Piepoli	PD	29.5	2009-05-11	Q47729
Crespi	PD	25.5	2009-05-11	Q47729
Digis	PD	25	2009-05-10	Q47729
Euromedia	PD	25.3	2009-05-08	Q47729
Lorien	PD	25.5	2009-05-08	Q47729
PoliticaLink	PD	27	2009-05-07	Q47729
TP	PD	26.9	2009-05-07	Q47729
Ipsos	PD	26.5	2009-05-05	Q47729
Digis	PD	25	2009-05-02	Q47729
Crespi	PD	25	2009-04-30	Q47729
PoliticaLink	PD	26.8	2009-04-30	Q47729
Ipsos	PD	26.2	2009-04-29	Q47729
TP	PD	25.4	2009-04-29	Q47729
Demopolis	PD	26	2009-04-28	Q47729
Digis	PD	25.3	2009-04-26	Q47729
TP	PD	26.9	2009-04-26	Q47729
Crespi	PD	24	2009-04-22	Q47729
Lorien	PD	25.4	2009-04-21	Q47729
Ipsos	PD	26.2	2009-04-20	Q47729
Digis	PD	25	2009-04-18	Q47729
Digis	PD	25	2009-04-10	Q47729
ISPO	PD	25.1	2009-04-02	Q47729
Lorien	PD	25.7	2009-03-31	Q47729
Digis	PD	24.8	2009-03-28	Q47729
AnalisiPolitica	PD	24.5	2009-03-24	Q47729
Euromedia	PD	22.4	2009-03-23	Q47729
Crespi	PD	23.2	2009-03-23	Q47729
Demos&Pi	PD	26.2	2009-03-23	Q47729
Digis	PD	24.2	2009-03-21	Q47729
Ipsos	PD	25.3	2009-03-16	Q47729
Euromedia	PD	22.5	2009-03-14	Q47729
Digis	PD	24	2009-03-14	Q47729
Coesis	PD	23	2009-03-10	Q47729
Crespi	PD	23.5	2009-03-06	Q47729
Euromedia	PD	22	2009-02-28	Q47729
Digis	PD	23.5	2009-02-28	Q47729
IPR	PD	22	2009-02-27	Q47729
Ipsos	PD	24.3	2009-02-23	Q47729
Digis	PD	24	2009-02-21	Q47729
Crespi	PD	21.8	2009-02-20	Q47729
Crespi	PD	26.3	2009-01-22	Q47729
Ipsos	PD	25	2009-01-12	Q47729
SWG	PD	24	2009-01-08	Q47729
Piepoli	PD	29.5	2009-01-04	Q47729
Euromedia	LN	9.1	2009-12-21	Q47750
Digis	LN	11	2009-12-19	Q47750
Euromedia	LN	9.1	2009-12-17	Q47750
Ipsos	LN	9.3	2009-12-14	Q47750
GPG	LN	12.6	2009-12-12	Q47750
Lorien	LN	12.2	2009-12-04	Q47750
SpinCon	LN	9.6	2009-11-30	Q47750
Digis	LN	10.4	2009-11-28	Q47750
Ipsos	LN	10.3	2009-11-27	Q47750
Ipsos	LN	10.2	2009-11-23	Q47750
SpinCon	LN	9.5	2009-11-23	Q47750
ISPO	LN	8.5	2009-11-19	Q47750
Piepoli	LN	9.5	2009-11-16	Q47750
GPG	LN	12.2	2009-11-16	Q47750
Euromedia	LN	9.8	2009-11-13	Q47750
SpinCon	LN	10.7	2009-11-11	Q47750
Ipsos	LN	9.9	2009-11-09	Q47750
Digis	LN	9.5	2009-11-07	Q47750
Crespi	LN	10	2009-11-03	Q47750
Ipsos	LN	10	2009-10-26	Q47750
Digis	LN	10.2	2009-10-24	Q47750
Digis	LN	10	2009-10-17	Q47750
Euromedia	LN	9.9	2009-10-05	Q47750
Crespi	LN	10	2009-10-02	Q47750
Ipsos	LN	10.1	2009-09-28	Q47750
Crespi	LN	11	2009-09-07	Q47750
Digis	LN	11.5	2009-09-05	Q47750
Crespi	LN	10	2009-07-27	Q47750
Digis	LN	11	2009-07-18	Q47750
Digis	LN	9.1	2009-05-20	Q47750
Lorien	LN	9.6	2009-05-20	Q47750
TP	LN	9.6	2009-05-20	Q47750
Demopolis	LN	10	2009-05-20	Q47750
ISPO	LN	9.5	2009-05-19	Q47750
Crespi	LN	10.3	2009-05-19	Q47750
Ipsos	LN	9.8	2009-05-18	Q47750
Digis	LN	8.5	2009-05-17	Q47750
Demos&Pi	LN	10.1	2009-05-15	Q47750
Lorien	LN	9.4	2009-05-15	Q47750
Demopolis	LN	10.5	2009-05-13	Q47750
TP	LN	9.5	2009-05-12	Q47750
Ipsos	LN	9.2	2009-05-11	Q47750
Piepoli	LN	8.5	2009-05-11	Q47750
Crespi	LN	10	2009-05-11	Q47750
Digis	LN	9.5	2009-05-10	Q47750
Euromedia	LN	10	2009-05-08	Q47750
Lorien	LN	9.2	2009-05-08	Q47750
PoliticaLink	LN	10.5	2009-05-07	Q47750
TP	LN	9.8	2009-05-07	Q47750
Ipsos	LN	9.4	2009-05-05	Q47750
Digis	LN	10.4	2009-05-02	Q47750
Crespi	LN	10	2009-04-30	Q47750
PoliticaLink	LN	10	2009-04-30	Q47750
Ipsos	LN	10.3	2009-04-29	Q47750
TP	LN	10.3	2009-04-29	Q47750
Demopolis	LN	9.5	2009-04-28	Q47750
Digis	LN	10.6	2009-04-26	Q47750
TP	LN	9.7	2009-04-26	Q47750
Crespi	LN	9	2009-04-22	Q47750
Lorien	LN	9.4	2009-04-21	Q47750
Ipsos	LN	9.7	2009-04-20	Q47750
Digis	LN	10.5	2009-04-18	Q47750
Digis	LN	10.3	2009-04-10	Q47750
Lorien	LN	9.5	2009-03-31	Q47750
Digis	LN	10.2	2009-03-28	Q47750
AnalisiPolitica	LN	9.5	2009-03-24	Q47750
Euromedia	LN	10.7	2009-03-23	Q47750
Crespi	LN	11	2009-03-23	Q47750
Demos&Pi	LN	9.2	2009-03-23	Q47750
Digis	LN	11	2009-03-21	Q47750
Ipsos	LN	10.8	2009-03-16	Q47750
Euromedia	LN	9.1	2009-03-14	Q47750
Digis	LN	11	2009-03-14	Q47750
Coesis	LN	9	2009-03-10	Q47750
Crespi	LN	11	2009-03-06	Q47750
Euromedia	LN	10	2009-02-28	Q47750
Digis	LN	11.3	2009-02-28	Q47750
IPR	LN	9.5	2009-02-27	Q47750
Ipsos	LN	10.9	2009-02-23	Q47750
Digis	LN	11.3	2009-02-21	Q47750
Crespi	LN	10	2009-02-20	Q47750
Crespi	LN	11	2009-01-22	Q47750
Ipsos	LN	11.2	2009-01-12	Q47750
SWG	LN	8.5	2009-01-08	Q47750
Piepoli	LN	9.5	2009-01-04	Q47750
Euromedia	UdC	6	2009-12-21	Q47781
Digis	UdC	6	2009-12-19	Q47781
Euromedia	UdC	5.9	2009-12-17	Q47781
Ipsos	UdC	6.5	2009-12-14	Q47781
GPG	UdC	7.6	2009-12-12	Q47781
Lorien	UdC	6.5	2009-12-04	Q47781
SpinCon	UdC	7.5	2009-11-30	Q47781
Digis	UdC	7.5	2009-11-28	Q47781
Ipsos	UdC	6	2009-11-27	Q47781
Ipsos	UdC	6.3	2009-11-23	Q47781
SpinCon	UdC	7.2	2009-11-23	Q47781
ISPO	UdC	6.8	2009-11-19	Q47781
Piepoli	UdC	6.5	2009-11-16	Q47781
GPG	UdC	7.1	2009-11-16	Q47781
Euromedia	UdC	7	2009-11-13	Q47781
SpinCon	UdC	6.8	2009-11-11	Q47781
Ipsos	UdC	6.8	2009-11-09	Q47781
Digis	UdC	7.2	2009-11-07	Q47781
Crespi	UdC	7	2009-11-03	Q47781
Ipsos	UdC	6.6	2009-10-26	Q47781
Digis	UdC	5.9	2009-10-24	Q47781
Digis	UdC	6	2009-10-17	Q47781
Euromedia	UdC	6.5	2009-10-05	Q47781
Crespi	UdC	6.3	2009-10-02	Q47781
Ipsos	UdC	6.7	2009-09-28	Q47781
Crespi	UdC	6.5	2009-09-07	Q47781
Digis	UdC	6	2009-09-05	Q47781
Crespi	UdC	6.9	2009-07-27	Q47781
Digis	UdC	6	2009-07-18	Q47781
Digis	UdC	5.2	2009-05-20	Q47781
Lorien	UdC	6.6	2009-05-20	Q47781
TP	UdC	5.5	2009-05-20	Q47781
Demopolis	UdC	5.8	2009-05-20	Q47781
ISPO	UdC	6.5	2009-05-19	Q47781
Crespi	UdC	6	2009-05-19	Q47781
Ipsos	UdC	6.3	2009-05-18	Q47781
Digis	UdC	4.8	2009-05-17	Q47781
Demos&Pi	UdC	7.2	2009-05-15	Q47781
Lorien	UdC	6.8	2009-05-15	Q47781
Demopolis	UdC	6	2009-05-13	Q47781
TP	UdC	5.3	2009-05-12	Q47781
Ipsos	UdC	6.4	2009-05-11	Q47781
Piepoli	UdC	5.5	2009-05-11	Q47781
Crespi	UdC	6	2009-05-11	Q47781
Digis	UdC	6	2009-05-10	Q47781
Euromedia	UdC	5.5	2009-05-08	Q47781
Lorien	UdC	6.6	2009-05-08	Q47781
PoliticaLink	UdC	6	2009-05-07	Q47781
TP	UdC	5.6	2009-05-07	Q47781
Ipsos	UdC	6.4	2009-05-05	Q47781
Digis	UdC	5.8	2009-05-02	Q47781
Crespi	UdC	5.7	2009-04-30	Q47781
PoliticaLink	UdC	6	2009-04-30	Q47781
Ipsos	UdC	6	2009-04-29	Q47781
TP	UdC	6.1	2009-04-29	Q47781
Demopolis	UdC	6.5	2009-04-28	Q47781
Digis	UdC	5.8	2009-04-26	Q47781
TP	UdC	6	2009-04-26	Q47781
Crespi	UdC	5	2009-04-22	Q47781
Lorien	UdC	6.3	2009-04-21	Q47781
Ipsos	UdC	5.6	2009-04-20	Q47781
Digis	UdC	5.8	2009-04-18	Q47781
Digis	UdC	6	2009-04-10	Q47781
Lorien	UdC	6.7	2009-03-31	Q47781
Digis	UdC	6	2009-03-28	Q47781
AnalisiPolitica	UdC	7.5	2009-03-24	Q47781
Euromedia	UdC	5	2009-03-23	Q47781
Crespi	UdC	6	2009-03-23	Q47781
Demos&Pi	UdC	7	2009-03-23	Q47781
Digis	UdC	5.8	2009-03-21	Q47781
Ipsos	UdC	6.2	2009-03-16	Q47781
Euromedia	UdC	5.5	2009-03-14	Q47781
Digis	UdC	6	2009-03-14	Q47781
Coesis	UdC	6	2009-03-10	Q47781
Crespi	UdC	7	2009-03-06	Q47781
Euromedia	UdC	5.9	2009-02-28	Q47781
Digis	UdC	6.5	2009-02-28	Q47781
IPR	UdC	8	2009-02-27	Q47781
Ipsos	UdC	6.3	2009-02-23	Q47781
Digis	UdC	6	2009-02-21	Q47781
Crespi	UdC	6.2	2009-02-20	Q47781
Crespi	UdC	5.5	2009-01-22	Q47781
Ipsos	UdC	6	2009-01-12	Q47781
SWG	UdC	4.5	2009-01-08	Q47781
